Case,ID,size,pixel_num_lung,pixel_num_fibrosis
1_0000,1_0000_183,256,88440,4068
1_0000,1_0000_184,256,88587,3940
1_0000,1_0000_185,256,88278,4256
1_0000,1_0000_186,256,88404,4188
1_0000,1_0000_187,256,88356,4640
1_0000,1_0000_188,256,88269,4892
1_0000,1_0000_189,256,88377,4192
1_0000,1_0000_190,256,88635,3468
1_0000,1_0000_191,256,88179,4228
1_0000,1_0000_192,256,88026,4352
1_0000,1_0000_193,256,87588,3676
1_0000,1_0000_194,256,87378,3272
1_0000,1_0000_195,256,87285,3128
1_0000,1_0000_196,256,87303,2260
1_0000,1_0000_197,256,87435,1480
1_0000,1_0000_198,256,87564,2012
1_0000,1_0000_199,256,87984,1980
1_0000,1_0000_200,256,88044,2336
1_0000,1_0000_201,256,88233,2072
1_0000,1_0000_202,256,88620,2056
1_0000,1_0000_203,256,88542,1908
1_0000,1_0000_204,256,88779,2260
1_0000,1_0000_205,256,88401,2464
1_0000,1_0000_206,256,88209,2592
1_0000,1_0000_207,256,88293,1756
1_0000,1_0000_208,256,88224,1644
1_0000,1_0000_209,256,88398,2152
1_0000,1_0000_210,256,88515,2412
1_0000,1_0000_211,256,88992,2172
1_0000,1_0000_212,256,89145,1748
1_0000,1_0000_213,256,89430,1776
1_0000,1_0000_214,256,90138,1760
1_0000,1_0000_215,256,91026,1912
1_0000,1_0000_216,256,91437,1756
1_0000,1_0000_217,256,91764,1948
1_0000,1_0000_218,256,91710,3132
1_0000,1_0000_219,256,92025,2584
1_0000,1_0000_220,256,92202,2080
1_0000,1_0000_221,256,91854,2540
1_0000,1_0000_222,256,91632,2836
1_0000,1_0000_223,256,91188,2212
1_0000,1_0000_224,256,91155,2332
1_0000,1_0000_225,256,91344,2816
1_0000,1_0000_226,256,91860,2328
1_0000,1_0000_227,256,92400,1600
1_0000,1_0000_228,256,92985,928
1_0000,1_0000_229,256,93027,1812
1_0000,1_0000_230,256,92937,2024
1_0000,1_0000_231,256,93018,1172
1_0000,1_0000_232,256,93147,1656
1_0000,1_0000_233,256,93075,2608
1_0000,1_0000_234,256,93486,2864
1_0000,1_0000_235,256,93456,2496
1_0000,1_0000_236,256,93159,2616
1_0000,1_0000_237,256,92841,2288
1_0000,1_0000_238,256,92982,2144
1_0000,1_0000_239,256,93039,1868
1_0000,1_0000_240,256,92676,1424
1_0000,1_0000_241,256,92208,1920
