Case,ID,size,pixel_num_lung,pixel_num_fibrosis
1_0000,1_0000_144,256,41217,4468
1_0000,1_0000_145,256,41697,4284
1_0000,1_0000_146,256,42048,3900
1_0000,1_0000_147,256,42495,3660
1_0000,1_0000_148,256,42963,3992
1_0000,1_0000_149,256,43626,3936
1_0000,1_0000_150,256,44193,4708
1_0000,1_0000_151,256,44553,5024
1_0000,1_0000_152,256,44973,4840
1_0000,1_0000_153,256,45447,5452
1_0000,1_0000_154,256,45837,6392
1_0000,1_0000_155,256,46170,6640
1_0000,1_0000_156,256,46566,6696
1_0000,1_0000_157,256,46950,6924
1_0000,1_0000_158,256,47547,6912
1_0000,1_0000_159,256,48192,6260
1_0000,1_0000_160,256,48660,5836
1_0000,1_0000_161,256,49224,5620
1_0000,1_0000_162,256,50082,6532
1_0000,1_0000_163,256,51093,6840
1_0000,1_0000_164,256,51822,6488
1_0000,1_0000_165,256,51822,6224
1_0000,1_0000_166,256,51723,6040
1_0000,1_0000_167,256,51717,5460
1_0000,1_0000_168,256,51678,5464
1_0000,1_0000_169,256,51762,5396
1_0000,1_0000_170,256,51741,5708
1_0000,1_0000_171,256,51708,6380
1_0000,1_0000_172,256,51687,6392
1_0000,1_0000_173,256,51597,6200
1_0000,1_0000_174,256,51585,6132
1_0000,1_0000_175,256,51507,5616
1_0000,1_0000_176,256,51537,5788
1_0000,1_0000_177,256,51603,6464
1_0000,1_0000_178,256,51558,6344
1_0000,1_0000_179,256,51498,5700
1_0000,1_0000_180,256,51390,5240
1_0000,1_0000_181,256,51321,5280
1_0000,1_0000_182,256,51381,5088
1_0000,1_0000_183,256,51570,4932
1_0000,1_0000_184,256,51720,4748
1_0000,1_0000_185,256,51615,5020
1_0000,1_0000_186,256,51630,4872
1_0000,1_0000_187,256,51636,5212
1_0000,1_0000_188,256,51606,5724
1_0000,1_0000_189,256,51711,4240
1_0000,1_0000_190,256,51780,3772
1_0000,1_0000_191,256,51579,4068
1_0000,1_0000_192,256,51489,4252
1_0000,1_0000_193,256,51327,4028
1_0000,1_0000_194,256,51234,3696
1_0000,1_0000_195,256,51111,3128
1_0000,1_0000_196,256,51069,3108
1_0000,1_0000_197,256,51171,2728
1_0000,1_0000_198,256,51234,3016
1_0000,1_0000_199,256,51438,3636
1_0000,1_0000_200,256,51498,3900
1_0000,1_0000_201,256,51582,4208
1_0000,1_0000_202,256,51840,4132
1_0000,1_0000_203,256,51852,3972
1_0000,1_0000_204,256,51969,4404
1_0000,1_0000_205,256,51777,5076
1_0000,1_0000_206,256,51654,4912
1_0000,1_0000_207,256,51669,4536
1_0000,1_0000_208,256,51651,4960
1_0000,1_0000_209,256,51723,4556
1_0000,1_0000_210,256,51825,4620
1_0000,1_0000_211,256,52041,4596
1_0000,1_0000_212,256,52137,4872
1_0000,1_0000_213,256,52326,4840
1_0000,1_0000_214,256,52728,4968
1_0000,1_0000_215,256,53262,4032
1_0000,1_0000_216,256,53487,3500
1_0000,1_0000_217,256,53721,3132
1_0000,1_0000_218,256,53796,2732
1_0000,1_0000_219,256,53898,3088
1_0000,1_0000_220,256,54027,3316
1_0000,1_0000_221,256,53922,3208
1_0000,1_0000_222,256,53763,3080
1_0000,1_0000_223,256,53442,3488
1_0000,1_0000_224,256,53421,4152
1_0000,1_0000_225,256,53424,3828
1_0000,1_0000_226,256,53784,3260
1_0000,1_0000_227,256,54138,2708
1_0000,1_0000_228,256,54474,2656
1_0000,1_0000_229,256,54483,3216
1_0000,1_0000_230,256,54471,3812
1_0000,1_0000_231,256,54465,3060
1_0000,1_0000_232,256,54510,2844
1_0000,1_0000_233,256,54504,2904
1_0000,1_0000_234,256,54843,3612
1_0000,1_0000_235,256,54915,3376
1_0000,1_0000_236,256,54744,2668
1_0000,1_0000_237,256,54507,2512
1_0000,1_0000_238,256,54474,2564
1_0000,1_0000_239,256,54594,2320
1_0000,1_0000_240,256,54321,2372
1_0000,1_0000_241,256,54078,2540
1_0000,1_0000_242,256,53865,3100
1_0000,1_0000_243,256,53928,3496
1_0000,1_0000_244,256,54042,3736
1_0000,1_0000_245,256,53961,3892
1_0000,1_0000_246,256,54084,3420
1_0000,1_0000_247,256,54171,3600
1_0000,1_0000_248,256,54360,3620
1_0000,1_0000_249,256,54501,4276
1_0000,1_0000_250,256,54444,3960
1_0000,1_0000_251,256,54492,3732
1_0000,1_0000_252,256,54333,3372
1_0000,1_0000_253,256,54192,3692
1_0000,1_0000_254,256,54228,2940
1_0000,1_0000_255,256,54381,2464
1_0000,1_0000_256,256,54348,2256
1_0000,1_0000_257,256,54246,2448
1_0000,1_0000_258,256,54240,2588
1_0000,1_0000_259,256,54102,2464
1_0000,1_0000_260,256,53901,2224
1_0000,1_0000_261,256,53802,2508
1_0000,1_0000_262,256,53628,2692
1_0000,1_0000_263,256,53745,2812
1_0000,1_0000_264,256,53715,3132
1_0000,1_0000_265,256,53733,3320
1_0000,1_0000_266,256,53712,3136
1_0000,1_0000_267,256,53775,3108
1_0000,1_0000_268,256,53826,2952
1_0000,1_0000_269,256,53745,2744
1_0000,1_0000_270,256,53667,2772
1_0000,1_0000_271,256,53607,2388
1_0000,1_0000_272,256,53526,2532
1_0000,1_0000_273,256,53469,2232
1_0000,1_0000_274,256,53388,1828
1_0000,1_0000_275,256,53259,1552
1_0000,1_0000_276,256,53205,1448
1_0000,1_0000_277,256,53046,1300
1_0000,1_0000_278,256,52881,1268
1_0000,1_0000_279,256,52812,1100
1_0000,1_0000_280,256,52728,824
1_0000,1_0000_281,256,52722,1156
1_0000,1_0000_282,256,52710,1100
1_0000,1_0000_283,256,52761,1604
1_0000,1_0000_284,256,52875,1036
1_0000,1_0000_285,256,53124,1416
1_0000,1_0000_286,256,53169,1304
1_0000,1_0000_287,256,53157,964
1_0000,1_0000_288,256,53106,788
1_0000,1_0000_289,256,52986,660
1_0000,1_0000_290,256,52962,864
1_0000,1_0000_291,256,52899,1064
1_0000,1_0000_292,256,52716,1216
1_0000,1_0000_293,256,52434,1048
1_0000,1_0000_294,256,52251,720
1_0000,1_0000_295,256,52140,404
1_0000,1_0000_296,256,51846,316
1_0000,1_0000_297,256,51726,696
1_0000,1_0000_298,256,51618,940
