MedianData,Threshold
0.5886915625,0.0
0.5942314265,0.05
0.602072686,0.1
0.609764636,0.15000000000000002
0.6175197065,0.2
0.623006374,0.25
0.630079627,0.3
0.6353090109999999,0.35
0.639077723,0.39999999999999997
0.643660098,0.44999999999999996
0.6487702725,0.49999999999999994
0.656466305,0.5499999999999999
0.664833009,0.6
0.6759471890000001,0.65
0.683835089,0.7000000000000001
0.6902349590000001,0.7500000000000001
0.6933107975,0.8000000000000002
0.695632875,0.8500000000000002
0.6925887465,0.9000000000000002
0.6931033135,0.9500000000000003
