Image_ID,MedSAM Dice 50 manual,MedSAM Orig Dice Scores,Diffusion + Unet,Diffusion + Unet_noscale,"max(sclae,noS)",mask_area
254,,0.067861959,0.081777781,0.160219312,0.160219312,332
255,,0.747724771,0.055,0,0.055,1244
256,,0.470093429,0.726371706,0.709536612,0.726371706,20300
257,,0.196011454,0.625420868,0.581694782,0.625420868,5006
258,,0.326927304,0.486595839,0.583643138,0.583643138,5687
259,,0.102672227,0.665529013,0.449125707,0.665529013,2924
260,,0.093545996,0.187311172,0.258272797,0.258272797,2198
261,,0.56516844,0.888983786,0.86735642,0.888983786,10149
262,,0.208915696,0.375131726,0.472868204,0.472868204,4230
263,,0.497467697,0.646145761,0.680349886,0.680349886,19596
264,,0.056286365,0.518900335,0.482782364,0.518900335,1199
265,,0.124580942,0.4640311,0.492504686,0.492504686,2434
266,,0.57845062,0.749714315,0.758382976,0.758382976,1845
267,,0.395033717,0.713178277,0.816077948,0.816077948,6312
268,,0.182007596,0.63200587,0.668402314,0.668402314,4666
269,,0.520168304,0.532552063,0.531324089,0.532552063,3881
270,,0.526171923,0.490952194,0.834373474,0.834373474,22507
271,,0.453630686,0.624315441,0.614736855,0.624315441,2769
272,,0.048119783,0.115802169,0,0.115802169,944
273,,0.816426575,0.525506616,0.514921427,0.525506616,1811
274,,0.353056878,0.459847033,0.589628577,0.589628577,11818
275,,0.419013262,0.486486495,0.443394989,0.486486495,5860
276,,0.347682178,0.802471757,0.805676758,0.805676758,9948
277,,0.097901151,0,0.315703154,0.315703154,1335
278,,0.398791552,0.185654014,0.242171183,0.242171183,234
279,,0.336686879,0.748247266,0.71758002,0.748247266,10246
280,,0.189957291,0.597981513,0.659194171,0.659194171,5898
281,,0.218777046,0.472573847,0.479761541,0.479761541,2199
282,,0.067037381,0.098958336,0.185673356,0.185673356,454
283,,0.139904961,0.683453262,0.599926293,0.683453262,4856
284,,0.514753282,0.647506356,0.762568057,0.762568057,9110
285,,0.210084036,0,0,0,61
